selected_zone,ALEPPO,ASPINWALL,AVALON,BALDWIN,BELL ACRES,BELLEVUE,BEN AVON,BEN AVON HEIGHTS,BETHEL PARK,BLAWNOX,BRACKENRIDGE,BRADDOCK,BRADDOCK HILLS,BRADFORD WOODS,BRENTWOOD,BRIDGEVILLE,CARNEGIE,CASTLE SHANNON,CHALFANT,CHESWICK,CHURCHILL,CLAIRTON,COLLIER,CORAOPOLIS,CRAFTON,CRESCENT,DORMONT,DRAVOSBURG,DUQUESNE,EAST DEER,EAST MCKEESPORT,EAST PITTSBURGH,EDGEWOOD,EDGEWORTH,ELIZABETH,EMSWORTH,ETNA,FAWN,FINDLAY,FOREST HILLS,FORWARD,FOX CHAPEL,FRANKLIN PARK,FRAZER,GLASSPORT,GLEN OSBORNE,GLENFIELD,GREEN TREE,HAMPTON,HARMAR,HARRISON,HAYSVILLE,HEIDELBERG,HOMESTEAD,INDIANA,INGRAM,JEFFERSON HILLS,KENNEDY,KILBUCK,LEET,LEETSDALE,LIBERTY,LINCOLN,MARSHALL,MCCANDLESS,MCDONALD,MCKEES ROCKS,MCKEESPORT,MILLVALE,MONROEVILLE,MOON,MOUNT LEBANON,MOUNT OLIVER,MUNHALL,NEVILLE,NORTH BRADDOCK,NORTH FAYETTE,NORTH VERSAILLES,O'HARA,OAKDALE,OAKMONT,OHIO,PENN HILLS,PENNSBURY VILLAGE,PINE,PITCAIRN,PITTSBURGH,PLEASANT HILLS,PLUM,PORT VUE,RANKIN,RESERVE,RICHLAND,ROBINSON,ROSS,ROSSLYN FARMS,SCOTT,SEWICKLEY,SEWICKLEY HEIGHTS,SEWICKLEY HILLS,SHALER,SHARPSBURG,SOUTH FAYETTE,SOUTH PARK,SOUTH VERSAILLES,SPRINGDALE,STOWE,SWISSVALE,TARENTUM,THORNBURG,TRAFFORD,TURTLE CREEK,UPPER ST. CLAIR,VERONA,VERSAILLES,WALL,WEST DEER,WEST ELIZABETH,WEST HOMESTEAD,WEST MIFFLIN,WEST VIEW,WHITAKER,WHITE OAK,WHITEHALL,WILKINS,WILKINSBURG,WILMERDING
EAST PITTSBURGH,0.374914624,0.587790514,0.266274367,0.918618342,0.491352068,0.216956084,0.638911222,0.924034782,0.476167223,0.193384746,0.096408451,0.797049385,0.356480368,0.731507581,0.557746295,0.868609108,0.954833168,0.977903282,0.076612266,0.347306993,0.996327961,0.45002763,0.868497655,0.800934571,0.19787585,0.122196672,0.242909356,0.667637664,0.430457325,0.237376357,0.875292251,0.950407928,0.538718735,0.798505397,0.296094461,0.062258964,0.682869743,0.115116911,0.060562153,0.437596254,0.442458039,0.635624388,0.693382977,0.415543787,0.421924132,0.482023464,0.479821625,0.681408968,0.464095041,0.234989369,0.61208881,0.582255573,0.586687589,0.178819236,0.494149713,0.863466739,0.237885804,0.817324495,0.108109103,0.368732234,0.886659175,0.278965438,0.513464635,0.458194172,0.562162945,0.023461218,0.538207059,0.783440642,0.040010845,0.497054616,0.779213428,0.388911799,0.01526707,0.165013259,0.553391836,0.04644864,0.926505128,0.366561787,0.467552657,0.746654879,0.755408517,0.604870645,0.279638408,0.515000223,0.270645487,0.363454337,0.350554776,0.527803016,0.483812045,0.759767047,0.351446843,0.062232713,0.066780177,0.057115326,0.697439281,0.359157219,0.078208925,0.407895989,0.484247924,0.026979938,0.235215246,0.175295642,0.140574329,0.095416853,0.218749785,0.639701831,0.184518426,0.440925832,0.980655405,0.483149549,0.069444264,0.654662786,0.052441402,0.293485819,0.763795408,0.548541944,0.805068401,0.494499352,0.116842876,0.922423339,0.932349811,0.903941034,0.58957945,0.358965191,0.610970545,0.868160193,0.293018707
EDGEWOOD,0.528882271,0.265163105,0.620722449,0.427349025,0.113444822,0.721854655,0.430697272,0.601267494,0.600144626,0.509941612,0.746612118,0.796917427,0.58030984,0.121719126,0.454201221,0.977738099,0.807915987,0.289834541,0.333521703,0.497209572,0.488617179,0.041600397,0.448584474,0.611306508,0.871135723,0.559060876,0.698279348,0.645911106,0.818821937,0.207990118,0.074933069,0.490841812,0.358208464,0.600573297,0.366187664,0.317221089,0.916965287,0.00325134,0.359629128,0.91128158,0.512518408,0.155366264,0.897807327,0.459578386,0.275883523,0.929651444,0.831050709,0.298970141,0.11660498,0.218743203,0.131527812,0.631508206,0.514189163,0.673203701,0.957881113,0.192356314,0.733521342,0.874421715,0.948542582,0.485346936,0.480734165,0.476546464,0.308313339,0.186157307,0.642599773,0.508603654,0.490805297,0.216164278,0.346314782,0.454636617,0.856079042,0.26958678,0.760896022,0.164550374,0.0596698,0.875443819,0.663982422,0.434807582,0.476599977,0.35633696,0.486417479,0.716177151,0.195221279,0.264664472,0.175169794,0.168140758,0.386555536,0.521728194,0.97996897,0.718569614,0.716042973,0.647483684,0.190743845,0.024330892,0.524283195,0.869191584,0.171424117,0.491104162,0.212042956,0.199425028,0.773862191,0.790150969,0.370401728,0.183075621,0.158766918,0.546320718,0.593064386,0.650338401,0.841998835,0.367163652,0.848456825,0.794735431,0.679897257,0.995102584,0.983813523,0.569739835,0.090579975,0.555066747,0.422686603,0.044926052,0.627789492,0.689992629,0.404304109,0.713293964,0.132521112,0.688576182,0.932601363
EDGEWORTH,0.511886054,0.531519428,0.956531932,0.878670038,0.517091113,0.097656167,0.54766811,0.538418926,0.535331157,0.614761534,0.765751937,0.005349543,0.071143123,0.079907473,0.942810566,0.670106669,0.946033027,0.066610896,0.685080198,0.325811558,0.800635573,0.02544676,0.134704742,0.261402977,0.024592577,0.772335032,0.847126304,0.178025651,0.754046778,0.585074833,0.294396263,0.77266813,0.579117851,0.317456158,0.380368452,0.229246357,0.337969949,0.334722819,0.688270606,0.974286308,0.533727544,0.051472148,0.914086124,0.23942939,0.924433285,0.020099541,0.261706108,0.868911231,0.919852451,0.721437517,0.36312275,0.028308514,0.380971764,0.57644115,0.707252626,0.051349019,0.552536705,0.391425394,0.234293891,0.200241516,0.535802157,0.330657852,0.784289342,0.679869561,0.485384439,0.624116918,0.174430075,0.498859773,0.423856538,0.211946166,0.095544797,0.776890653,0.975960022,0.783521595,0.715868809,0.298936626,0.812999361,0.543879125,0.71487515,0.1915413,0.788201458,0.043186183,0.529108565,0.227234642,0.578665737,0.18293759,0.6844403,0.118863742,0.83152468,0.274101068,0.583518919,0.905685622,0.730787862,0.656350571,0.498043953,0.471217158,0.144964724,0.837145865,0.094376476,0.658854241,0.834243065,0.296950968,0.858406185,0.22743985,0.729702013,0.35170496,0.313210841,0.26857712,0.866137292,0.939244428,0.768495018,0.223217154,0.674836109,0.967672904,0.348754594,0.757758242,0.168591232,0.321053563,0.259691868,0.493594608,0.885972091,0.165760718,0.261355808,0.552754496,0.503159472,0.680674089,0.151624403
ELIZABETH,0.263524672,0.05625353,0.123678163,0.855163402,0.371956016,0.287754378,0.654030525,0.491135472,0.105084534,0.475422061,0.731013911,0.927543302,0.171572918,0.054773681,0.371805807,0.124633748,0.126833772,0.128471451,0.358710124,0.878381532,0.125217012,0.853415185,0.622270364,0.201594115,0.594269517,0.783413016,0.374006506,0.029014984,0.137847751,0.165312769,0.270870207,0.726627852,0.005499546,0.023078587,0.46209041,0.924512358,0.639034929,0.149391466,0.699287269,0.574612508,0.747828817,0.268108458,0.064747962,0.556393781,0.088611234,0.891602178,0.450227384,0.410456056,0.365469634,0.571256058,0.78716771,0.331436918,0.04579626,0.25181541,0.430172574,0.941807677,0.810533668,0.762178922,0.064251155,0.448067441,0.959954773,0.107412029,0.942447001,0.574398711,0.319630272,0.472491816,0.544726763,0.569138548,0.700032406,0.741013766,0.863026725,0.160587002,0.538323883,0.040392177,0.15610825,0.298947935,0.353787445,0.237827429,0.861940317,0.607863267,0.173350027,0.018637545,0.919684963,0.918002615,0.981625903,0.643828968,0.959860697,0.211114383,0.452042258,0.737009656,0.393967889,0.470537193,0.179980592,0.123016383,0.235501831,0.573022568,0.83384061,0.760606391,0.72592621,0.94491042,0.655154875,0.74909722,0.048027979,0.258523849,0.711911589,0.647442425,0.313472462,0.994498657,0.779584735,0.09547069,0.578607621,0.065275293,0.555091256,0.537249909,0.288969835,0.820459924,0.02616486,0.16759785,0.337366225,0.563135026,0.306369947,0.141189151,0.87649452,0.312808488,0.515826182,0.977251932,0.029934085
EMSWORTH,0.078122314,0.126039731,0.66151778,0.21902816,0.274636864,0.894853695,0.096873799,0.844833039,0.272431526,0.805618768,0.092628508,0.350631969,0.168195087,0.665283993,0.054551228,0.437961177,0.964234386,0.009953775,0.697876064,0.98759161,0.764781489,0.912430866,0.201346291,0.257788906,0.628794018,0.595283825,0.140678155,0.764712433,0.420647058,0.396502145,0.231020385,0.612134774,0.446181069,0.56768441,0.287429503,0.843584449,0.827706476,0.732355175,0.268806974,0.350063216,0.151084045,0.284344454,0.098850513,0.039168674,0.078034931,0.310263904,0.065745855,0.850047381,0.038673405,0.601424877,0.757083827,0.623936546,0.982413464,0.655514998,0.679289585,0.588331839,0.382142916,0.419206984,0.375067889,0.583971599,0.063724146,0.245101559,0.552874688,0.587155266,0.899744136,0.754507614,0.378842566,0.565653245,0.541053747,0.21251287,0.162942245,0.382568514,0.371474342,0.834369919,0.227367541,0.954497171,0.395388521,0.036497387,0.622427631,0.006934398,0.5893898,0.545564924,0.065514576,0.897266951,0.207895512,0.079471845,0.590629876,0.581902888,0.854579745,0.955740088,0.2747658,0.1895516,0.287113985,0.585529787,0.653308182,0.126049135,0.253525174,0.589633842,0.201360556,0.240402767,0.575458679,0.423915676,0.645600447,0.983308622,0.37402755,0.80847802,0.720534101,0.871261672,0.300491368,0.0453532,0.938954105,0.41123771,0.973396576,0.338220433,0.467782838,0.692962153,0.462137033,0.625451999,0.976277812,0.250284019,0.324701548,0.511270157,0.669591278,0.193113821,0.73531208,0.295698574,0.091960717
ETNA,0.705353769,0.272880728,0.521282518,0.797165625,0.657393203,0.139877285,0.839939726,0.775239898,0.576937344,0.877391713,0.510332163,0.578645238,0.037824193,0.088218511,0.011643937,0.543524136,0.107932355,0.287774934,0.987396006,0.162365149,0.922531154,0.072893698,0.261546037,0.306124484,0.025711224,0.644865615,0.28886572,0.280097936,0.361409038,0.892392773,0.485842452,0.195858383,0.402869756,0.67573315,0.812527449,0.835779189,0.794873332,0.674908725,0.783598242,0.0513386,0.439003578,0.379259755,0.120125971,0.458918894,0.694474169,0.118649103,0.847896084,0.482551957,0.836213617,0.094410851,0.528561048,0.321496787,0.314450003,0.989253342,0.175963579,0.369819846,0.843192653,0.812337961,0.824391202,0.236151875,0.089073238,0.227392303,0.925472302,0.263633678,0.615085394,0.965212972,0.004059588,0.156229399,0.976889102,0.64896924,0.282400758,0.786362437,0.402863455,0.951215438,0.207037369,0.615718706,0.002399516,0.975826736,0.903244772,0.960130243,0.685617465,0.267930532,0.783966293,0.15077577,0.924540716,0.57368809,0.477647743,0.108670554,0.826075441,0.070212372,0.881657103,0.74318984,0.360796946,0.472746077,0.177102096,0.825790524,0.029170987,0.571940993,0.061494689,0.11976441,0.561499349,0.80099171,0.992063444,0.332972923,0.432904372,0.690299189,0.064197349,0.055452026,0.508911932,0.582617298,0.028784795,0.000122821,0.169090101,0.055933654,0.634230839,0.598362942,0.653976121,0.344222483,0.878304926,0.797088258,0.21769403,0.285291913,0.261334796,0.280100671,0.381974541,0.961236919,0.527314057
FAWN,0.893936728,0.135587339,0.232638258,0.720520758,0.799277934,0.730051635,0.333018867,0.049431564,0.634526655,0.507523892,0.461752835,0.363639157,0.918461483,0.617001154,0.378055944,0.031481396,0.186750776,0.428225029,0.283723047,0.917642407,0.597326966,0.146353686,0.057054793,0.618536771,0.531901081,0.786875183,0.960086521,0.573049611,0.289261763,0.150678682,0.660176748,0.612779404,0.6403666,0.110711179,0.658201307,0.328674457,0.400443689,0.424582545,0.504452585,0.689755099,0.987722274,0.841179796,0.869523612,0.847788767,0.212027707,0.938548587,0.841723272,0.297398969,0.160163865,0.99673724,0.494504066,0.411742714,0.62304035,0.587356166,0.875204189,0.336567487,0.700211835,0.717401901,0.575585446,0.518059774,0.890318741,0.576470478,0.731402647,0.897391946,0.532552486,0.15968797,0.665844801,0.289622219,0.706208702,0.581038498,0.802590248,0.181124637,0.993772482,0.274760775,0.181607888,0.815737724,0.149267085,0.027373414,0.656181728,0.580852183,0.755807724,0.23236592,0.905858057,0.423134299,0.318405428,0.302162349,0.25875063,0.632654392,0.223604078,0.067043003,0.387425114,0.758475242,0.363312002,0.147400348,0.952200185,0.260323091,0.122042871,0.952726121,0.426733645,0.291259836,0.908297556,0.808603082,0.491561002,0.938725833,0.292448572,0.076570495,0.989396596,0.276102082,0.162410886,0.615293998,0.035156239,0.516923977,0.666865201,0.32778377,0.617685909,0.196699404,0.874783263,0.140890613,0.078945894,0.009490327,0.059534195,0.917474229,0.235983813,0.794289114,0.208497943,0.805971025,0.631999543
FINDLAY,0.011188719,0.362770128,0.467702858,0.003867484,0.183735635,0.769871227,0.214626347,0.150106525,0.839450239,0.494295208,0.356047757,0.453026483,0.167222188,0.435890758,0.432420245,0.234496111,0.676926504,0.757497828,0.783852124,0.68524914,0.133256895,0.39338381,0.677993507,0.053714905,0.192886357,0.154779446,0.058681779,0.300396242,0.270108479,0.11414508,0.321436675,0.046292639,0.228673168,0.331385355,0.691754843,0.051989164,0.564275977,0.230810777,0.82610964,0.564370069,0.369138665,0.283746679,0.639049083,0.626151548,0.396763729,0.993320711,0.597382325,0.48923419,0.752444241,0.313479423,0.504200398,0.917125719,0.726862862,0.858882494,0.982202102,0.00198558,0.79701668,0.540656125,0.647679448,0.378442114,0.675920593,0.316820864,0.838830105,0.786403619,0.669238618,0.798179399,0.392715199,0.239183461,0.927045701,0.764466924,0.373291117,0.49911873,0.454294862,0.46650938,0.280629052,0.644895419,0.796112433,0.351635964,0.602078459,0.763884116,0.091280337,0.519760337,0.747102212,0.76000881,0.923080298,0.856430824,0.794429272,0.079153161,0.419979778,0.50255929,0.355662767,0.345326239,0.983002795,0.917868771,0.340200135,0.803593822,0.22344604,0.293994014,0.626751367,0.469156724,0.153513602,0.182414284,0.691843777,0.728131872,0.682808855,0.893647291,0.417292425,0.013638986,0.271571915,0.246209535,0.942519948,0.572453214,0.474882663,0.191718001,0.089767866,0.232233775,0.48604206,0.422563813,0.701364399,0.420976707,0.961184286,0.716574003,0.448871322,0.484200771,0.706609155,0.531900649,0.173674655
FOREST HILLS,0.03182626,0.842234602,0.099591105,0.807734169,0.458742198,0.530122151,0.032943166,0.326202494,0.105013273,0.521837059,0.496949794,0.142219303,0.397211894,0.297943951,0.645966519,0.04025509,0.99656979,0.774350376,0.567344743,0.733651538,0.976666484,0.240856085,0.331340464,0.17085382,0.299924495,0.630644736,0.299550497,0.797527744,0.520622462,0.360361829,0.038477224,0.976032521,0.082428735,0.461756997,0.761908498,0.472366322,0.890519376,0.006439521,0.299196588,0.946009382,0.159794892,0.011957823,0.183830585,0.95873939,0.698397953,0.479177345,0.361511817,0.301077406,0.151386154,0.245338449,0.760780829,0.584974681,0.266661946,0.468521828,0.645257367,0.683989592,0.216006101,0.727300821,0.735873278,0.776529396,0.869071485,0.398995661,0.272263463,0.159836855,0.138665874,0.760459564,0.681705451,0.363944755,0.173218734,0.212347957,0.252935613,0.747453087,0.231138838,0.957202442,0.531986294,0.643205315,0.930099335,0.854618674,0.316937389,0.596383795,0.117896733,0.814659395,0.76781585,0.281290323,0.69395406,0.835184027,0.457842717,0.556975169,0.334117378,0.377513044,0.123081806,0.791354489,0.749804993,0.593328789,0.268322174,0.38606712,0.338769667,0.615865651,0.39315238,0.107975432,0.419556949,0.475266106,0.619583528,0.275447039,0.943933541,0.899398507,0.919035212,0.85836475,0.673381218,0.359586733,0.526032164,0.022366475,0.95826584,0.249358601,0.964456308,0.876484319,0.58462269,0.614411731,0.061494785,0.160175245,0.42853202,0.115286142,0.226701355,0.745663038,0.502418163,0.06098301,0.964665175
FORWARD,0.794677987,0.424636697,0.385673822,0.572782546,0.296259521,0.259345917,0.365694365,0.80137859,0.632612954,0.513404928,0.447801171,0.739528919,0.190765658,0.151423595,0.04839837,0.146933195,0.425499448,0.137390514,0.904738409,0.709220201,0.149055868,0.995433932,0.65267149,0.42887882,0.771469186,0.2675745,0.913557212,0.536840982,0.742949715,0.353437834,0.223074869,0.249150784,0.526417941,0.591422496,0.682921854,0.087241217,0.079813649,0.221417579,0.602725555,0.598654495,0.822152869,0.588380527,0.141049807,0.952191233,0.862553705,0.576457694,0.536942943,0.424946006,0.785497407,0.55695807,0.448391352,0.786629719,0.167410743,0.518083728,0.684125069,0.76500338,0.813726606,0.430915502,0.415841994,0.309970476,0.332709175,0.599383091,0.042009645,0.440180221,0.032318328,0.663935737,0.558717873,0.866595944,0.89387784,0.385874914,0.492441101,0.129088578,0.553437028,0.731439378,0.65892356,0.288852186,0.154190117,0.611933845,0.746895317,0.05768104,0.537335116,0.07619445,0.762042643,0.967776367,0.783691716,0.869296732,0.425471971,0.387349981,0.754726506,0.76511997,0.201331441,0.544197962,0.087650712,0.685806633,0.670497555,0.733555733,0.706786787,0.218337086,0.315735722,0.653719264,0.56729437,0.404835493,0.08352047,0.582816246,0.458569543,0.569123052,0.987498921,0.921488296,0.867339872,0.615578211,0.557021366,0.552120117,0.495251822,0.387746162,0.044774266,0.825533826,0.671114377,0.701211561,0.182175364,0.208677558,0.950626099,0.877806004,0.702674956,0.25081893,0.056809454,0.954492441,0.353880357
FOX CHAPEL,0.859276518,0.729697718,0.620432971,0.345158946,0.068301415,0.731595244,0.324908797,0.999008505,0.868472029,0.735423022,0.565645076,0.666201838,0.951891658,0.590415196,0.720204266,0.929509509,0.869849564,0.037746623,0.094276187,0.214855444,0.933176697,0.376237146,0.105096268,0.66926989,0.359092969,0.123596121,0.47177831,0.03592033,0.788652063,0.823627633,0.699764776,0.248323075,0.765489852,0.487308532,0.871519359,0.317493821,0.89258238,0.016225219,0.991998439,0.868075577,0.413951622,0.449876268,0.235162022,0.22125053,0.715335572,0.063508199,0.032845539,0.913001269,0.363366771,0.05241203,0.955677128,0.080912201,0.79471886,0.660051154,0.311034765,0.925590228,0.798575026,0.557600043,0.720712393,0.110341032,0.679079586,0.782615696,0.532453484,0.989287316,0.87141384,0.827847756,0.090033798,0.154624154,0.123035377,0.628762549,0.601193372,0.237008775,0.125798801,0.436492294,0.519656308,0.745622923,0.360089155,0.346987825,0.390657877,0.364325866,0.251034683,0.433878112,0.709309054,0.873151426,0.194565144,0.543262511,0.799188946,0.356697971,0.367064589,0.430057022,0.088039553,0.521935214,0.234615834,0.37461163,0.783269217,0.764934713,0.101395232,0.096658028,0.928183181,0.618030985,0.541906575,0.972639707,0.031398506,0.99378356,0.411928969,0.693246359,0.041854027,0.631792374,0.322592055,0.22402669,0.614189143,0.078250217,0.233576405,0.353619595,0.290550346,0.049354921,0.015947562,0.082130089,0.511631263,0.348571894,0.981594207,0.116397984,0.19901317,0.732275569,0.580957136,0.810832132,0.694830867
FRANKLIN PARK,0.245103166,0.910725661,0.423172982,0.224007983,0.025637674,0.264506072,0.866546628,0.610991909,0.238166176,0.147717214,0.823542381,0.584451436,0.735094652,0.965765515,0.616855725,0.755675783,0.055895499,0.254067809,0.050759573,0.042444489,0.297671708,0.986473022,0.786418468,0.944667363,0.820156885,0.512850624,0.599361541,0.56531918,0.39256708,0.592585756,0.983745789,0.451009531,0.716821363,0.244393223,0.981606319,0.120600116,0.994313333,0.365757817,0.612789143,0.186981793,0.311923851,0.022300274,0.748209628,0.183660142,0.335390722,0.826123857,0.319465011,0.904330811,0.941837322,0.277662274,0.527204039,0.285927676,0.712329404,0.144062676,0.511259608,0.274973453,0.959553572,0.569214408,0.253970709,0.918771636,0.245698173,0.155636791,0.976015852,0.009101057,0.335949381,0.901877576,0.544360252,0.686613793,0.801077629,0.787824014,0.11693265,0.788734133,0.719628846,0.556119435,0.825645232,0.693685437,0.852422935,0.968946479,0.596348308,0.868879422,0.319377383,0.039554983,0.680818074,0.8468231,0.013747835,0.623257423,0.757264684,0.640045641,0.435416878,0.339303827,0.138136967,0.208839576,0.311140082,0.482239459,0.171970786,0.472936369,0.688490193,0.112314778,0.126385565,0.06878904,0.466764583,0.625621766,0.608057675,0.195435007,0.355920174,0.808163298,0.496823106,0.519343994,0.07941433,0.575614024,0.993148745,0.635482509,0.768970786,0.590780431,0.563963369,0.093682093,0.016293569,0.341878409,0.869647599,0.000197716,0.169045041,0.307269748,0.529015928,0.108379785,0.196284522,0.136162021,0.60961809
FRAZER,0.919232392,0.312842006,0.021617732,0.864000339,0.741880735,0.334002606,0.412751281,0.26590315,0.025165406,0.621404982,0.711649963,0.200717936,0.201189184,0.772118031,0.564854681,0.257325188,0.532694821,0.63841551,0.902474985,0.642954167,0.941545662,0.202434544,0.490208966,0.323609687,0.561951765,0.692907559,0.278755159,0.844058998,0.942629851,0.333298283,0.238700434,0.431155962,0.555028549,0.057524308,0.044012474,0.145852386,0.130545716,0.782479364,0.062326374,0.813060311,0.243754724,0.720298936,0.402081083,0.604991836,0.234157239,0.166794877,0.721495533,0.565106364,0.493891298,0.919960304,0.167616071,0.095620432,0.721772133,0.636942358,0.284661947,0.87222983,0.38335052,0.43607083,0.381471977,0.420712531,0.537571194,0.808947965,0.93884792,0.440707736,0.158068749,0.930614898,0.137894301,0.382863708,0.332070322,0.195443781,0.112278817,0.704589638,0.639047735,0.82931687,0.261142316,0.758447465,0.647625821,0.050653945,0.990386113,0.63609627,0.143228131,0.524020728,0.057108698,0.296239351,0.569905263,0.170132875,0.552388046,0.911025187,0.349966095,0.616385682,0.419835635,0.180890223,0.313204155,0.180143736,0.428714832,0.713541613,0.257159565,0.936803634,0.442080134,0.215526651,0.101615124,0.021038236,0.71652573,0.311742554,0.207551452,0.302435728,0.296283878,0.970026035,0.026451045,0.252753193,0.475198398,0.11848563,0.518669998,0.359959192,0.492377595,0.038179208,0.7047716,0.021210698,0.00902033,0.124282358,0.553816126,0.585092427,0.099935768,0.134685183,0.772580937,0.208013792,0.610537749
GLASSPORT,0.437394698,0.754798047,0.621943497,0.504440598,0.13441987,0.265794536,0.674650198,0.394823479,0.097438257,0.065012796,0.320595359,0.634311294,0.296399739,0.965086864,0.96408595,0.804782981,0.551957445,0.267633648,0.35428461,0.093009013,0.244568526,0.00727787,0.265263362,0.339428857,0.558649784,0.870974624,0.526357061,0.164367332,0.986583788,0.950304921,0.984786558,0.413525346,0.636130946,0.306540354,0.582254261,0.397350104,0.938747103,0.497729619,0.295114939,0.651596984,0.504706242,0.254623242,0.176774994,0.245764314,0.458041198,0.79141463,0.133045077,0.539698172,0.001455737,0.98824768,0.098356292,0.902515881,0.3385145,0.784926335,0.791973566,0.723722715,0.28138734,0.865602257,0.481820062,0.483521523,0.942985938,0.811016499,0.340506671,0.190043371,0.794185035,0.322287599,0.443990553,0.560280032,0.804296042,0.322808236,0.365723554,0.41297549,0.823462004,0.465081674,0.228574796,0.176148072,0.351192496,0.960526767,0.861650803,0.085858918,0.941616984,0.655246117,0.533500746,0.254550352,0.331751452,0.325028917,0.545392452,0.997062714,0.854093816,0.69714029,0.974898709,0.916403754,0.354010684,0.122211765,0.259382126,0.174075582,0.931426308,0.289368478,0.924226718,0.684774839,0.501301811,0.582706439,0.33918169,0.132561652,0.533478986,0.458644549,0.835375585,0.836772265,0.74318094,0.293708749,0.299910877,0.525282275,0.967876607,0.687856949,0.225285863,0.144021297,0.078625531,0.916810281,0.012542033,0.102886086,0.119723585,0.690519339,0.896019952,0.391766611,0.837229824,0.814766143,0.901103911
GLEN OSBORNE,0.772497278,0.610678496,0.907410348,0.160984347,0.01517924,0.223467456,0.005781699,0.962324097,0.759652603,0.104329961,0.872319111,0.250355194,0.220091213,0.969219296,0.244875943,0.803902464,0.950204228,0.646715882,0.119678649,0.991145566,0.28072378,0.04927723,0.072528626,0.272079682,0.595032389,0.248517005,0.189585481,0.25265677,0.399607139,0.712974183,0.693281262,0.001005589,0.198899619,0.158441714,0.358835703,0.565726533,0.406759728,0.33032216,0.184275989,0.485437919,0.191118664,0.96165164,0.88869938,0.62308878,0.554268943,0.566008197,0.536780202,0.896012375,0.069572408,0.003251126,0.27336956,0.79351083,0.960692713,0.034608605,0.021511891,0.719266978,0.750061786,0.621979995,0.731754773,0.239013412,0.458824946,0.426704292,0.833901419,0.271569541,0.265760213,0.849591696,0.087672226,0.782681646,0.346117104,0.746035347,0.156800631,0.149459253,0.93258971,0.150329826,0.623695846,0.422737259,0.917228094,0.403686083,0.720854386,0.689848927,0.64356256,0.665387585,0.406215818,0.624092473,0.443508081,0.868273253,0.962206269,0.64056233,0.870743743,0.305382222,0.066871657,0.055224152,0.257420779,0.986871021,0.739487941,0.599862447,0.892526493,0.615105999,0.704160462,0.362605052,0.502033521,0.803286986,0.116749539,0.026484591,0.964328745,0.008340589,0.418706613,0.799781647,0.777802938,0.990082045,0.184695984,0.732106916,0.638162953,0.137094,0.119267835,0.395735015,0.039391258,0.350658466,0.637224847,0.355650834,0.629994279,0.628345942,0.263375948,0.228198862,0.136639482,0.803879055,0.712155577
GLENFIELD,0.20409222,0.710489953,0.017974091,0.445913857,0.302407614,0.339693064,0.985239798,0.919682484,0.222467121,0.116420104,0.864794636,0.749531607,0.036872504,0.594252534,0.04132256,0.122778257,0.684550232,0.431768268,0.051397824,0.742765152,0.042500653,0.634211096,0.326295098,0.048192589,0.199245947,0.041133322,0.786985655,0.197583043,0.579491245,0.383840613,0.809343754,0.695852863,0.093508147,0.011384544,0.511190353,0.508856505,0.051390344,0.09609796,0.92546209,0.748525361,0.039746218,0.446498562,0.434781309,0.948475989,0.443634473,0.89515663,0.862206092,0.685871427,0.019819379,0.079794279,0.11601246,0.884640188,0.653473116,0.358017265,0.844368162,0.430350395,0.987678933,0.85959226,0.297689657,0.96080059,0.180198129,0.686129268,0.437827631,0.204504063,0.041901383,0.352080354,0.377649263,0.950448977,0.549742786,0.876248593,0.054163451,0.565949028,0.870370063,0.627728382,0.448779979,0.520458784,0.468718232,0.378185744,0.666112646,0.455327613,0.275556459,0.488619224,0.515794049,0.894562951,0.828431713,0.590442735,0.449520847,0.95062986,0.665323849,0.800743165,0.693591297,0.15055551,0.841077489,0.963940561,0.229660421,0.123064408,0.304331932,0.578397967,0.790406565,0.505236916,0.403806083,0.84542463,0.667407647,0.988357772,0.544393995,0.145649295,0.162905094,0.598511092,0.182192723,0.354946572,0.999162397,0.628977597,0.578021835,0.219396059,0.12736596,0.158329903,0.635567811,0.46489103,0.637887988,0.316144074,0.911889134,0.308030766,0.780941945,0.128755005,0.808399324,0.411683958,0.900669027
