,selected_zone,zone_value,value
168,FOX CHAPEL,ASPINWALL,0.729697718
169,FRANKLIN PARK,ASPINWALL,0.910725661
170,FRAZER,ASPINWALL,0.312842006
171,GLASSPORT,ASPINWALL,0.754798047
172,GLEN OSBORNE,ASPINWALL,0.610678496
173,GLENFIELD,ASPINWALL,0.710489953
174,GREEN TREE,ASPINWALL,0.524732823
175,HAMPTON,ASPINWALL,0.055969816
176,HARMAR,ASPINWALL,0.173714241
177,HARRISON,ASPINWALL,0.672873817
178,HAYSVILLE,ASPINWALL,0.63042587
179,HEIDELBERG,ASPINWALL,0.578669003
180,HOMESTEAD,ASPINWALL,0.808372327
181,INDIANA,ASPINWALL,0.878504981
182,INGRAM,ASPINWALL,0.159669094
183,JEFFERSON HILLS,ASPINWALL,0.272913829
184,KENNEDY,ASPINWALL,0.28639077
185,KILBUCK,ASPINWALL,0.595642018
186,LEET,ASPINWALL,0.531853663
187,LEETSDALE,ASPINWALL,0.70482996
188,LIBERTY,ASPINWALL,0.179408057
189,LINCOLN,ASPINWALL,0.263658168
190,MARSHALL,ASPINWALL,0.729729731
191,MCCANDLESS,ASPINWALL,0.663600884
192,MCDONALD,ASPINWALL,0.865015741
193,MCKEES ROCKS,ASPINWALL,0.839238387
194,MCKEESPORT,ASPINWALL,0.193339852
195,MILLVALE,ASPINWALL,0.076602032
196,MONROEVILLE,ASPINWALL,0.533708404
197,MOON,ASPINWALL,0.589279898
198,MOUNT LEBANON,ASPINWALL,0.409251782
199,MOUNT OLIVER,ASPINWALL,0.95440155
200,MUNHALL,ASPINWALL,0.599170907
201,NEVILLE,ASPINWALL,0.688624212
202,NORTH BRADDOCK,ASPINWALL,0.967270471
203,NORTH FAYETTE,ASPINWALL,0.864751175
204,NORTH VERSAILLES,ASPINWALL,0.964451813
205,O'HARA,ASPINWALL,0.728939137
206,OAKDALE,ASPINWALL,0.789947803
207,OAKMONT,ASPINWALL,0.878327079
208,OHIO,ASPINWALL,0.973363837
209,PENN HILLS,ASPINWALL,0.721585817
210,PENNSBURY VILLAGE,ASPINWALL,0.486988985
211,PINE,ASPINWALL,0.479760662
212,PITCAIRN,ASPINWALL,0.788071726
213,PITTSBURGH,ASPINWALL,0.824074864
214,PLEASANT HILLS,ASPINWALL,0.21113636
215,PLUM,ASPINWALL,0.576452613
216,PORT VUE,ASPINWALL,0.308578376
217,RANKIN,ASPINWALL,0.324563948
218,RESERVE,ASPINWALL,0.380025083
219,RICHLAND,ASPINWALL,0.376682067
220,ROBINSON,ASPINWALL,0.181439033
221,ROSS,ASPINWALL,0.292456691
222,ROSSLYN FARMS,ASPINWALL,0.572026504
223,SCOTT,ASPINWALL,0.992914754
224,SEWICKLEY,ASPINWALL,0.215404954
225,SEWICKLEY HEIGHTS,ASPINWALL,0.879893453
226,SEWICKLEY HILLS,ASPINWALL,0.17897188
227,SHALER,ASPINWALL,0.932367979
228,SHARPSBURG,ASPINWALL,0.847906421
229,SOUTH FAYETTE,ASPINWALL,0.705341051
230,SOUTH PARK,ASPINWALL,0.842264049
231,SOUTH VERSAILLES,ASPINWALL,0.818679489
232,SPRINGDALE,ASPINWALL,0.785347964
233,STOWE,ASPINWALL,0.174764994
234,SWISSVALE,ASPINWALL,0.974052042
235,TARENTUM,ASPINWALL,0.096043548
236,THORNBURG,ASPINWALL,0.343441383
237,TRAFFORD,ASPINWALL,0.588364344
238,TURTLE CREEK,ASPINWALL,0.729835246
239,UPPER ST. CLAIR,ASPINWALL,0.579952356
240,VERONA,ASPINWALL,0.468448872
241,VERSAILLES,ASPINWALL,0.721340761
242,WALL,ASPINWALL,0.610295966
243,WEST DEER,ASPINWALL,0.663591087
244,WEST ELIZABETH,ASPINWALL,0.443466036
245,WEST HOMESTEAD,ASPINWALL,0.098326029
246,WEST MIFFLIN,ASPINWALL,0.618750391
247,WEST VIEW,ASPINWALL,0.657716497
248,WHITAKER,ASPINWALL,0.653532289
249,WHITE OAK,ASPINWALL,0.798241754
250,WHITEHALL,ASPINWALL,0.923981895
251,WILKINS,ASPINWALL,0.228632194
252,WILKINSBURG,ASPINWALL,0.386390585
253,WILMERDING,ASPINWALL,0.149298638
254,ALEPPO,AVALON,0.39655559
255,ASPINWALL,AVALON,0.946989878
256,AVALON,AVALON,0.346689917
257,BALDWIN,AVALON,0.975901578
258,BELL ACRES,AVALON,0.703469687
259,BELLEVUE,AVALON,0.552814671
260,BEN AVON,AVALON,0.208240112
261,BEN AVON HEIGHTS,AVALON,0.914424337
262,BETHEL PARK,AVALON,0.403650742
263,BLAWNOX,AVALON,0.877948664
264,BRACKENRIDGE,AVALON,0.833099967
265,BRADDOCK,AVALON,0.51532076
266,BRADDOCK HILLS,AVALON,0.90980887
267,BRADFORD WOODS,AVALON,0.209811964
268,BRENTWOOD,AVALON,0.778073787
269,BRIDGEVILLE,AVALON,0.059232841
270,CARNEGIE,AVALON,0.417485819
271,CASTLE SHANNON,AVALON,0.265066315
272,CHALFANT,AVALON,0.016491419
273,CHESWICK,AVALON,0.217951011
274,CHURCHILL,AVALON,0.025204564
275,CLAIRTON,AVALON,0.876707384
276,COLLIER,AVALON,0.858930279
277,CORAOPOLIS,AVALON,0.663736828
278,CRAFTON,AVALON,0.453079863
279,CRESCENT,AVALON,0.487766762
280,DORMONT,AVALON,0.652894708
281,DRAVOSBURG,AVALON,0.073579569
282,DUQUESNE,AVALON,0.433967454
283,EAST DEER,AVALON,0.049325579
284,EAST MCKEESPORT,AVALON,0.225644603
285,EAST PITTSBURGH,AVALON,0.266274367
286,EDGEWOOD,AVALON,0.620722449
287,EDGEWORTH,AVALON,0.956531932
288,ELIZABETH,AVALON,0.123678163
289,EMSWORTH,AVALON,0.66151778
290,ETNA,AVALON,0.521282518
291,FAWN,AVALON,0.232638258
292,FINDLAY,AVALON,0.467702858
293,FOREST HILLS,AVALON,0.099591105
294,FORWARD,AVALON,0.385673822
295,FOX CHAPEL,AVALON,0.620432971
296,FRANKLIN PARK,AVALON,0.423172982
297,FRAZER,AVALON,0.021617732
298,GLASSPORT,AVALON,0.621943497
299,GLEN OSBORNE,AVALON,0.907410348
300,GLENFIELD,AVALON,0.017974091
301,GREEN TREE,AVALON,0.379443253
302,HAMPTON,AVALON,0.255728735
303,HARMAR,AVALON,0.911749335
304,HARRISON,AVALON,0.249021026
305,HAYSVILLE,AVALON,0.495492121
306,HEIDELBERG,AVALON,0.844698561
307,HOMESTEAD,AVALON,0.832976871
308,INDIANA,AVALON,0.035622907
309,INGRAM,AVALON,0.60909641
310,JEFFERSON HILLS,AVALON,0.191516852
311,KENNEDY,AVALON,0.989233894
312,KILBUCK,AVALON,0.563346899
313,LEET,AVALON,0.10639618
314,LEETSDALE,AVALON,0.5366379
315,LIBERTY,AVALON,0.043874335
316,LINCOLN,AVALON,0.593005862
317,MARSHALL,AVALON,0.866135531
318,MCCANDLESS,AVALON,0.579298102
319,MCDONALD,AVALON,0.967853619
320,MCKEES ROCKS,AVALON,0.325769493
321,MCKEESPORT,AVALON,0.69324162
322,MILLVALE,AVALON,0.482466402
323,MONROEVILLE,AVALON,0.930714498
324,MOON,AVALON,0.960818148
325,MOUNT LEBANON,AVALON,0.35624125
326,MOUNT OLIVER,AVALON,0.925382388
327,MUNHALL,AVALON,0.27384597
328,NEVILLE,AVALON,0.116518886
329,NORTH BRADDOCK,AVALON,0.304179786
330,NORTH FAYETTE,AVALON,0.475816704
331,NORTH VERSAILLES,AVALON,0.668591701
332,O'HARA,AVALON,0.337370168
333,OAKDALE,AVALON,0.070234481
334,OAKMONT,AVALON,0.435688066
335,OHIO,AVALON,0.451672734
336,PENN HILLS,AVALON,0.45485849
337,PENNSBURY VILLAGE,AVALON,0.468585793
338,PINE,AVALON,0.8521023
339,PITCAIRN,AVALON,0.506640747
340,PITTSBURGH,AVALON,0.454340795
341,PLEASANT HILLS,AVALON,0.184580224
342,PLUM,AVALON,0.184584757
343,PORT VUE,AVALON,0.201865967
344,RANKIN,AVALON,0.04100661
345,RESERVE,AVALON,0.196942431
346,RICHLAND,AVALON,0.479552456
347,ROBINSON,AVALON,0.923547857
348,ROSS,AVALON,0.858982457
349,ROSSLYN FARMS,AVALON,0.548123781
350,SCOTT,AVALON,0.115482411
351,SEWICKLEY,AVALON,0.318231995
352,SEWICKLEY HEIGHTS,AVALON,0.607068612
353,SEWICKLEY HILLS,AVALON,0.418441204
354,SHALER,AVALON,0.751450758
355,SHARPSBURG,AVALON,0.074047659
356,SOUTH FAYETTE,AVALON,0.302658255
357,SOUTH PARK,AVALON,0.761768445
358,SOUTH VERSAILLES,AVALON,0.575403112
359,SPRINGDALE,AVALON,0.504653051
360,STOWE,AVALON,0.029505825
361,SWISSVALE,AVALON,0.055312465
362,TARENTUM,AVALON,0.488530544
363,THORNBURG,AVALON,0.801303707
364,TRAFFORD,AVALON,0.340300463
365,TURTLE CREEK,AVALON,0.725142648
366,UPPER ST. CLAIR,AVALON,0.347833892
367,VERONA,AVALON,0.094344971
368,VERSAILLES,AVALON,0.15054893
369,WALL,AVALON,0.266880081
370,WEST DEER,AVALON,0.594136201
371,WEST ELIZABETH,AVALON,0.308430649
372,WEST HOMESTEAD,AVALON,0.856016791
373,WEST MIFFLIN,AVALON,0.930137712
374,WEST VIEW,AVALON,0.991808192
375,WHITAKER,AVALON,0.76098712
376,WHITE OAK,AVALON,0.906568785
377,WHITEHALL,AVALON,0.56937453
378,WILKINS,AVALON,0.819910072
379,WILKINSBURG,AVALON,0.635383638
380,WILMERDING,AVALON,0.730499074
381,ALEPPO,BALDWIN,0.007183585
382,ASPINWALL,BALDWIN,0.176661858
383,AVALON,BALDWIN,0.082094939
384,BALDWIN,BALDWIN,0.147820161
385,BELL ACRES,BALDWIN,0.69448931
386,BELLEVUE,BALDWIN,0.421376972
387,BEN AVON,BALDWIN,0.863184564
388,BEN AVON HEIGHTS,BALDWIN,0.539053616
389,BETHEL PARK,BALDWIN,0.553285511
390,BLAWNOX,BALDWIN,0.629373481
391,BRACKENRIDGE,BALDWIN,0.690070454
392,BRADDOCK,BALDWIN,0.797096495
393,BRADDOCK HILLS,BALDWIN,0.450429002
394,BRADFORD WOODS,BALDWIN,0.600509275
395,BRENTWOOD,BALDWIN,0.282549625
396,BRIDGEVILLE,BALDWIN,0.007013769
397,CARNEGIE,BALDWIN,0.929736109
398,CASTLE SHANNON,BALDWIN,0.691399667
399,CHALFANT,BALDWIN,0.164326502
400,CHESWICK,BALDWIN,0.275287876
401,CHURCHILL,BALDWIN,0.991517366
402,CLAIRTON,BALDWIN,0.52434611
403,COLLIER,BALDWIN,0.923866043
404,CORAOPOLIS,BALDWIN,0.532197136
405,CRAFTON,BALDWIN,0.642691821
406,CRESCENT,BALDWIN,0.037031546
407,DORMONT,BALDWIN,0.084472077
408,DRAVOSBURG,BALDWIN,0.89994573
409,DUQUESNE,BALDWIN,0.311611312
410,EAST DEER,BALDWIN,0.22363083
411,EAST MCKEESPORT,BALDWIN,0.93550665
412,EAST PITTSBURGH,BALDWIN,0.918618342
413,EDGEWOOD,BALDWIN,0.427349025
414,EDGEWORTH,BALDWIN,0.878670038
415,ELIZABETH,BALDWIN,0.855163402
416,EMSWORTH,BALDWIN,0.21902816
417,ETNA,BALDWIN,0.797165625
418,FAWN,BALDWIN,0.720520758
419,FINDLAY,BALDWIN,0.003867484
420,FOREST HILLS,BALDWIN,0.807734169
421,FORWARD,BALDWIN,0.572782546
422,FOX CHAPEL,BALDWIN,0.345158946
423,FRANKLIN PARK,BALDWIN,0.224007983
424,FRAZER,BALDWIN,0.864000339
425,GLASSPORT,BALDWIN,0.504440598
426,GLEN OSBORNE,BALDWIN,0.160984347
427,GLENFIELD,BALDWIN,0.445913857
428,GREEN TREE,BALDWIN,0.688786408
429,HAMPTON,BALDWIN,0.363896602
430,HARMAR,BALDWIN,0.704224596
431,HARRISON,BALDWIN,0.715087288
432,HAYSVILLE,BALDWIN,0.71861734
433,HEIDELBERG,BALDWIN,0.425537078
434,HOMESTEAD,BALDWIN,0.356893498
435,INDIANA,BALDWIN,0.815860087
436,INGRAM,BALDWIN,0.905678531
437,JEFFERSON HILLS,BALDWIN,0.852808879
438,KENNEDY,BALDWIN,0.779983094
439,KILBUCK,BALDWIN,0.668995618
440,LEET,BALDWIN,0.126869488
441,LEETSDALE,BALDWIN,0.231228693
442,LIBERTY,BALDWIN,0.500843733
443,LINCOLN,BALDWIN,0.780681685
444,MARSHALL,BALDWIN,0.411509847
445,MCCANDLESS,BALDWIN,0.429294958
446,MCDONALD,BALDWIN,0.931911791
447,MCKEES ROCKS,BALDWIN,0.210703758
448,MCKEESPORT,BALDWIN,0.689519832
449,MILLVALE,BALDWIN,0.974942642
450,MONROEVILLE,BALDWIN,0.107072286
451,MOON,BALDWIN,0.959376093
452,MOUNT LEBANON,BALDWIN,0.917482915
453,MOUNT OLIVER,BALDWIN,0.841120755
454,MUNHALL,BALDWIN,0.499911387
455,NEVILLE,BALDWIN,0.415538442
456,NORTH BRADDOCK,BALDWIN,0.465465053
457,NORTH FAYETTE,BALDWIN,0.747219591
458,NORTH VERSAILLES,BALDWIN,0.544216861
459,O'HARA,BALDWIN,0.090801604
460,OAKDALE,BALDWIN,0.408181545
461,OAKMONT,BALDWIN,0.91110983
462,OHIO,BALDWIN,0.264157502
463,PENN HILLS,BALDWIN,0.002212498
464,PENNSBURY VILLAGE,BALDWIN,0.526052312
465,PINE,BALDWIN,0.847382085
466,PITCAIRN,BALDWIN,0.511576858
467,PITTSBURGH,BALDWIN,0.536859491
468,PLEASANT HILLS,BALDWIN,0.514851375
469,PLUM,BALDWIN,0.320753931
470,PORT VUE,BALDWIN,0.882812906
471,RANKIN,BALDWIN,0.927131825
472,RESERVE,BALDWIN,0.927554422
473,RICHLAND,BALDWIN,0.664811817
474,ROBINSON,BALDWIN,0.827537406
475,ROSS,BALDWIN,0.113668857
476,ROSSLYN FARMS,BALDWIN,0.649453714
477,SCOTT,BALDWIN,0.317530867
478,SEWICKLEY,BALDWIN,0.02500705
479,SEWICKLEY HEIGHTS,BALDWIN,0.763734384
480,SEWICKLEY HILLS,BALDWIN,0.307301947
481,SHALER,BALDWIN,0.997832616
482,SHARPSBURG,BALDWIN,0.293363376
483,SOUTH FAYETTE,BALDWIN,0.946842178
484,SOUTH PARK,BALDWIN,0.23082364
485,SOUTH VERSAILLES,BALDWIN,0.218476289
486,SPRINGDALE,BALDWIN,0.796839977
487,STOWE,BALDWIN,0.464716071
488,SWISSVALE,BALDWIN,0.972815376
489,TARENTUM,BALDWIN,0.654213872
490,THORNBURG,BALDWIN,0.433172332
491,TRAFFORD,BALDWIN,0.610485758
492,TURTLE CREEK,BALDWIN,0.162800831
493,UPPER ST. CLAIR,BALDWIN,0.171928505
494,VERONA,BALDWIN,0.568047633
495,VERSAILLES,BALDWIN,0.550246507
496,WALL,BALDWIN,0.987955495
497,WEST DEER,BALDWIN,0.272874955
498,WEST ELIZABETH,BALDWIN,0.126229393
499,WEST HOMESTEAD,BALDWIN,0.062766212
500,WEST MIFFLIN,BALDWIN,0.790472897
501,WEST VIEW,BALDWIN,0.689063219
502,WHITAKER,BALDWIN,0.998164576
503,WHITE OAK,BALDWIN,0.327942446
504,WHITEHALL,BALDWIN,0.08405572
505,WILKINS,BALDWIN,0.515864331
506,WILKINSBURG,BALDWIN,0.404012491
507,WILMERDING,BALDWIN,0.606341502
508,ALEPPO,BELL ACRES,0.584775095
509,ASPINWALL,BELL ACRES,0.154739532
510,AVALON,BELL ACRES,0.330832389
511,BALDWIN,BELL ACRES,0.916169722
512,BELL ACRES,BELL ACRES,0.295600724
513,BELLEVUE,BELL ACRES,0.857124765
514,BEN AVON,BELL ACRES,0.313998772
515,BEN AVON HEIGHTS,BELL ACRES,0.148607294
516,BETHEL PARK,BELL ACRES,0.034580837
517,BLAWNOX,BELL ACRES,0.043854353
518,BRACKENRIDGE,BELL ACRES,0.716934819
519,BRADDOCK,BELL ACRES,0.099894881
520,BRADDOCK HILLS,BELL ACRES,0.744461707
521,BRADFORD WOODS,BELL ACRES,0.425444576
522,BRENTWOOD,BELL ACRES,0.275644272
523,BRIDGEVILLE,BELL ACRES,0.283995877
524,CARNEGIE,BELL ACRES,0.291440767
525,CASTLE SHANNON,BELL ACRES,0.149294038
526,CHALFANT,BELL ACRES,0.852814645
527,CHESWICK,BELL ACRES,0.868127433
528,CHURCHILL,BELL ACRES,0.042630983
529,CLAIRTON,BELL ACRES,0.672588016
530,COLLIER,BELL ACRES,0.982132405
531,CORAOPOLIS,BELL ACRES,0.637738067
532,CRAFTON,BELL ACRES,0.839611373
533,CRESCENT,BELL ACRES,0.287916876
534,DORMONT,BELL ACRES,0.97562719
535,DRAVOSBURG,BELL ACRES,0.586791069
536,DUQUESNE,BELL ACRES,0.719436234
537,EAST DEER,BELL ACRES,0.279114417
538,EAST MCKEESPORT,BELL ACRES,0.769284844
539,EAST PITTSBURGH,BELL ACRES,0.491352068
540,EDGEWOOD,BELL ACRES,0.113444822
541,EDGEWORTH,BELL ACRES,0.517091113
542,ELIZABETH,BELL ACRES,0.371956016
543,EMSWORTH,BELL ACRES,0.274636864
544,ETNA,BELL ACRES,0.657393203
545,FAWN,BELL ACRES,0.799277934
546,FINDLAY,BELL ACRES,0.183735635
547,FOREST HILLS,BELL ACRES,0.458742198
548,FORWARD,BELL ACRES,0.296259521
549,FOX CHAPEL,BELL ACRES,0.068301415
550,FRANKLIN PARK,BELL ACRES,0.025637674
551,FRAZER,BELL ACRES,0.741880735
552,GLASSPORT,BELL ACRES,0.13441987
553,GLEN OSBORNE,BELL ACRES,0.01517924
554,GLENFIELD,BELL ACRES,0.302407614
555,GREEN TREE,BELL ACRES,0.217864073
556,HAMPTON,BELL ACRES,0.940347081
557,HARMAR,BELL ACRES,0.727135964
558,HARRISON,BELL ACRES,0.636946686
559,HAYSVILLE,BELL ACRES,0.419752904
560,HEIDELBERG,BELL ACRES,0.988304273
561,HOMESTEAD,BELL ACRES,0.56739626
562,INDIANA,BELL ACRES,0.601931969
563,INGRAM,BELL ACRES,0.805070298
564,JEFFERSON HILLS,BELL ACRES,0.254990672
565,KENNEDY,BELL ACRES,0.987668599
566,KILBUCK,BELL ACRES,0.824364214
567,LEET,BELL ACRES,0.569395232
568,LEETSDALE,BELL ACRES,0.576136732
569,LIBERTY,BELL ACRES,0.6399399
570,LINCOLN,BELL ACRES,0.368463817
571,MARSHALL,BELL ACRES,0.267762854
572,MCCANDLESS,BELL ACRES,0.384341256
573,MCDONALD,BELL ACRES,0.579261343
574,MCKEES ROCKS,BELL ACRES,0.930037009
575,MCKEESPORT,BELL ACRES,0.501225144
576,MILLVALE,BELL ACRES,0.799712498
577,MONROEVILLE,BELL ACRES,0.267275056
578,MOON,BELL ACRES,0.565544805
579,MOUNT LEBANON,BELL ACRES,0.404656304
580,MOUNT OLIVER,BELL ACRES,0.986411089
581,MUNHALL,BELL ACRES,0.334496702
582,NEVILLE,BELL ACRES,0.913218219
583,NORTH BRADDOCK,BELL ACRES,0.251276774
584,NORTH FAYETTE,BELL ACRES,0.106969138
585,NORTH VERSAILLES,BELL ACRES,0.096499217
586,O'HARA,BELL ACRES,0.904067937
587,OAKDALE,BELL ACRES,0.642325674
588,OAKMONT,BELL ACRES,0.820475873
589,OHIO,BELL ACRES,0.874853014
590,PENN HILLS,BELL ACRES,0.201477944
591,PENNSBURY VILLAGE,BELL ACRES,0.005745076
592,PINE,BELL ACRES,0.459181304
593,PITCAIRN,BELL ACRES,0.089505315
594,PITTSBURGH,BELL ACRES,0.193767962
595,PLEASANT HILLS,BELL ACRES,0.916972209
596,PLUM,BELL ACRES,0.671747471
597,PORT VUE,BELL ACRES,0.249522982
598,RANKIN,BELL ACRES,0.549727353
599,RESERVE,BELL ACRES,0.086238034
600,RICHLAND,BELL ACRES,0.467968124
